forecast_id,region_code,year_month,ingested_at,precipitation_mm,drought_risk_score,flood_risk_score,seasonal_baseline_mm,source
554,KE-CT,2023-02,2026-06-19 09:58:45+00,3.2,0.0,7.03,40.36,open_meteo_archive
555,KE-CT,2023-03,2026-06-19 09:58:45+00,103.8,0.96,47.17,84.37,open_meteo_archive
556,KE-CT,2023-04,2026-06-19 09:58:45+00,164.9,4.74,56.63,132.49,open_meteo_archive
557,KE-CT,2023-05,2026-06-19 09:58:45+00,58.7,4.59,53.66,111.88,open_meteo_archive
558,KE-CT,2023-06,2026-06-19 09:58:45+00,26.6,4.84,36.15,38.05,open_meteo_archive
559,KE-CT,2023-07,2026-06-19 09:58:45+00,25.6,24.2,19.36,111.14,open_meteo_archive
560,KE-CT,2023-08,2026-06-19 09:58:45+00,51.7,26.49,13.74,140.3,open_meteo_archive
561,KE-CT,2023-09,2026-06-19 09:58:45+00,83.1,15.49,23.18,125.97,open_meteo_archive
562,KE-CT,2023-10,2026-06-19 09:58:45+00,91.1,15.83,32.4,127.85,open_meteo_archive
563,KE-CT,2023-11,2026-06-19 09:58:45+00,218.9,6.65,85.4,117.09,open_meteo_archive
564,KE-CT,2023-12,2026-06-19 09:58:45+00,52.9,11.19,55.63,68.91,open_meteo_archive
565,KE-CT,2024-01,2026-06-19 09:58:45+00,85.0,0.55,84.41,33.38,open_meteo_archive
566,KE-CT,2024-02,2026-06-19 09:58:45+00,32.3,0.0,65.05,42.25,open_meteo_archive
567,KE-CT,2024-03,2026-06-19 09:58:45+00,23.7,6.45,34.32,85.84,open_meteo_archive
568,KE-CT,2024-04,2026-06-19 09:58:45+00,163.7,10.18,51.22,134.69,open_meteo_archive
569,KE-CT,2024-05,2026-06-19 09:58:45+00,175.4,4.59,81.41,107.57,open_meteo_archive
570,KE-CT,2024-06,2026-06-19 09:58:45+00,20.2,5.22,56.39,39.13,open_meteo_archive
571,KE-CT,2024-07,2026-06-19 09:58:45+00,190.1,5.84,66.04,113.4,open_meteo_archive
572,KE-CT,2024-08,2026-06-19 09:58:45+00,163.9,8.36,81.12,139.71,open_meteo_archive
573,KE-CT,2024-09,2026-06-19 09:58:45+00,98.2,12.83,32.8,125.74,open_meteo_archive
574,KE-CT,2024-10,2026-06-19 09:58:45+00,101.3,15.82,58.9,128.76,open_meteo_archive
575,KE-CT,2024-11,2026-06-19 09:58:45+00,164.0,7.11,52.77,115.23,open_meteo_archive
576,KE-CT,2024-12,2026-06-19 09:58:45+00,35.4,12.04,52.81,66.08,open_meteo_archive
577,KE-CT,2025-01,2026-06-19 09:58:45+00,43.2,2.5,34.53,33.38,open_meteo_archive
578,KE-CT,2025-02,2026-06-19 09:58:45+00,3.9,0.0,56.99,40.36,open_meteo_archive
579,KE-CT,2025-03,2026-06-19 09:58:45+00,124.0,1.04,55.97,84.37,open_meteo_archive
